site_id,lat,lon,elev_m,dist_river_m,pop_served,base_risk,flooded_2021
475,3.4307,102.4068,33.4025,2029.6282,17582.0,0.6392,0
476,3.432,102.4124,34.2006,1684.8653,19601.0,0.5549,0
477,3.4368,102.3986,43.8784,2838.4291,19760.0,0.2893,0
478,3.4461,102.41,36.1814,1392.5476,27391.0,0.4897,0
479,3.4519,102.449,41.5543,1605.9346,8996.0,0.3502,0
480,3.4566,102.4626,33.8478,2570.1141,7835.0,0.5455,0
481,3.4925,102.5314,60.4668,2912.9783,2111.0,0.064,0
482,3.4843,102.5199,48.1735,4405.3589,2631.0,0.187,0
483,3.4768,102.3648,39.6481,1922.3211,18788.0,0.5229,0
484,3.4726,102.3699,37.9674,1821.0092,15385.0,0.5239,0
485,3.4769,102.3489,59.6632,1056.1566,24694.0,0.0738,0
486,3.4976,102.3964,46.9019,1741.8394,3781.0,0.295,0
487,3.4822,102.3803,31.3399,240.8401,9619.0,0.6884,0
488,3.471,102.3802,36.2499,1389.9642,12835.0,0.5134,0
489,3.4832,102.517,37.1764,4765.5808,3059.0,0.4198,0
490,3.4749,102.5057,42.9606,6269.6993,3988.0,0.2697,0
491,3.4735,102.503,56.7159,6615.9714,4161.0,0.078,0
492,3.4863,102.5179,38.0214,4535.3069,2807.0,0.4018,0
493,3.4731,102.5014,55.4917,6480.0995,4245.0,0.0872,0
494,3.4319,102.4313,36.5605,389.5003,12932.0,0.541,0
495,3.5052,102.3873,36.0904,1797.3028,2558.0,0.5633,0
496,3.6478,102.6796,28.0506,12584.0322,993.0,0.5699,0
497,3.639,102.543,66.5046,11418.5319,875.0,0.023,0
498,3.5022,102.3951,40.7165,1943.7619,3169.0,0.5359,0
499,3.4591,102.4744,36.574,3772.9832,6206.0,0.4468,0
500,3.4632,102.4802,38.8296,4361.2289,5245.0,0.3822,0
501,3.4505,102.4006,40.4139,1535.4852,25673.0,0.3757,0
502,3.2724,102.4528,32.8468,5201.544,11551.0,0.5466,1
503,3.2646,102.4434,34.8971,6278.7521,14011.0,0.4632,0
504,3.2706,102.4519,33.4277,5392.8751,11842.0,0.5194,0
505,3.2666,102.4529,33.9596,5822.1725,11738.0,0.498,0
506,3.2735,102.4552,34.6694,5047.8384,10773.0,0.5302,0
507,3.2682,102.4441,34.1975,5852.062,13277.0,0.4855,0
508,3.2666,102.4509,35.8769,5854.8113,12079.0,0.442,0
509,3.2647,102.4472,38.1887,6144.8336,12967.0,0.3786,0
510,3.2688,102.452,35.0346,5599.2096,11894.0,0.4744,0
511,3.2648,102.4496,37.7707,6087.7009,12366.0,0.3898,0
512,3.2443,102.4218,37.1928,3362.2214,14583.0,0.4406,0
513,3.2496,102.4182,40.344,3206.6298,14675.0,0.368,0
514,3.2514,102.4195,41.7948,3421.6809,15212.0,0.3308,0
515,3.2228,102.4216,45.5191,3581.1817,4099.0,0.2431,0
516,3.2428,102.419,42.5589,3029.8854,13685.0,0.3199,0
517,3.2052,102.4114,45.7426,4068.6024,1890.0,0.2314,0
518,3.5161,102.5735,28.5166,926.514,1713.0,0.7288,0
519,3.509,102.5612,82.6728,1220.3777,1834.0,0.0068,0
520,3.2574,102.4309,38.3218,4852.2355,17965.0,0.3895,0
521,3.324,102.4503,39.8302,123.1775,2270.0,0.6289,0
522,3.5209,102.4026,45.1999,2815.2619,2529.0,0.2596,0
523,3.2719,102.455,33.4465,5229.2699,11060.0,0.556,0
524,3.452,102.4105,43.5865,756.324,27454.0,0.3244,0
525,3.5604,102.5077,49.2988,6692.242,2251.0,0.1557,0
526,3.5932,102.5231,51.2747,9085.8301,1218.0,0.117,0
527,3.555,102.5264,44.8997,6532.2824,2179.0,0.2269,0
528,3.4903,102.5027,35.3329,6100.412,3105.0,0.5008,0
529,3.4458,102.3703,51.6335,3275.8408,11505.0,0.1438,0
530,3.4801,102.3351,44.2176,2071.7872,25186.0,0.3295,0
531,3.4846,102.3384,48.564,1457.6433,24976.0,0.3752,0
532,3.473,102.3756,48.0265,1358.7965,12186.0,0.2403,0
533,3.2906,102.4595,36.4025,3107.6176,4870.0,0.4677,0
534,3.2832,102.457,30.2835,3959.8315,8163.0,0.635,0
535,3.2853,102.4537,44.317,3773.3115,7701.0,0.2647,0
536,3.2497,102.4163,36.656,3021.0245,14138.0,0.4649,0
537,3.5781,102.3848,44.0436,1202.286,2103.0,0.3001,0
538,3.419,102.6092,49.1169,1069.6218,551.0,0.2503,0
539,3.4829,102.5895,33.5271,448.0879,2570.0,0.5961,0
540,3.4844,102.5901,37.469,418.2151,2594.0,0.483,0
541,3.4929,102.5819,39.4978,1464.9652,2257.0,0.3985,0
542,3.6666,102.5426,74.5354,11307.6126,500.0,0.0101,0
543,3.6521,102.5445,72.5929,11443.3119,801.0,0.0123,0
544,3.6958,102.542,74.4667,12069.6818,1697.0,0.0098,0
545,3.6877,102.5393,76.1005,11466.845,1284.0,0.0085,0
546,3.6914,102.5417,71.4558,11858.6793,1523.0,0.0136,0
547,3.4712,102.3247,71.8299,2839.0077,17374.0,0.0201,0
548,3.5203,102.589,21.0179,948.8753,1300.0,0.8412,0
549,3.5148,102.5804,35.4745,1098.3813,1738.0,0.5081,0
550,3.5095,102.585,38.8056,1860.004,1822.0,0.4117,0
551,3.4872,102.5233,68.9569,3939.2028,2209.0,0.0252,0
552,3.5131,102.5358,61.9689,2841.7737,1871.0,0.0538,0
553,3.501,102.5416,47.5533,1748.9941,2036.0,0.225,0
554,3.4541,102.4625,42.1161,2685.5786,7908.0,0.3387,0
555,3.4408,102.4233,41.8641,506.9646,21880.0,0.3618,0
556,3.2867,102.5374,41.6943,742.0914,787.0,0.516,0
557,3.2708,102.5369,22.4366,1171.6458,735.0,0.8183,0
558,3.4851,102.3517,39.133,1082.8522,18524.0,0.4273,0
559,3.5501,102.6403,26.1732,2359.8469,1309.0,0.7956,0
560,3.4382,102.3772,37.6977,4226.6115,6890.0,0.4136,0
561,3.4984,102.3332,36.2372,1682.4225,12908.0,0.5801,1
562,3.457,102.4788,43.6689,4290.0687,5331.0,0.2726,0
563,3.4183,102.5939,24.7345,1357.8491,727.0,0.875,0
564,3.3347,102.5002,25.4674,456.0186,1322.0,0.841,1
565,3.2962,102.4595,31.9102,2480.3724,3700.0,0.6253,0
566,3.5661,102.5564,34.7178,5170.4844,651.0,0.482,0
567,3.5687,102.5611,69.3201,5106.2256,672.0,0.023,0
568,3.5776,102.5723,55.7469,5298.9751,757.0,0.0902,0
569,3.5041,102.4017,41.2031,2617.3571,3234.0,0.348,0
570,3.2599,102.6008,40.0303,6029.3751,2432.0,0.335,0
571,3.2621,102.5901,64.0915,4813.7186,2305.0,0.0398,0
572,3.2649,102.5843,37.9418,4161.4306,1988.0,0.4069,0
573,3.2592,102.588,53.6961,4658.0501,2232.0,0.1118,0
574,3.2599,102.6065,57.6788,6651.6577,2547.0,0.0699,0
575,3.2637,102.6072,45.7541,6703.4414,2574.0,0.2101,0
576,3.2648,102.5969,54.6439,5563.3985,2419.0,0.0988,0
577,3.2624,102.6087,48.9421,6862.6666,2577.0,0.1584,0
578,3.5546,102.6651,41.427,2598.8128,1299.0,0.4392,0
579,3.5503,102.6857,31.2103,1762.6704,1455.0,0.6419,0
580,3.2051,102.3058,67.8533,6130.612,1338.0,0.0256,0
581,3.2009,102.3115,61.2026,6574.5728,1426.0,0.0493,0
582,3.4723,102.4998,44.9776,6310.7786,4337.0,0.2273,0
583,3.2483,102.1336,254.0324,2931.659,363.0,0.0,0
584,3.6981,102.5417,81.8797,12134.7249,1767.0,0.0045,0
585,3.5982,102.3856,54.548,1890.3706,1237.0,0.1157,0
586,3.5677,102.5102,64.6713,6993.8176,1687.0,0.034,0
587,3.4864,102.3298,45.0889,2169.2025,22014.0,0.3035,0
588,3.4884,102.3308,37.1591,1974.521,22098.0,0.5557,0
589,3.5485,102.394,43.9931,419.2666,1670.0,0.4123,0
590,3.5696,102.3782,39.0649,2356.0385,2074.0,0.4923,0
591,3.4995,102.2946,38.4544,1553.3581,4152.0,0.5229,1
592,3.4993,102.2926,39.3354,1514.38,4055.0,0.4944,0
593,3.5062,102.26,40.3972,598.1897,1464.0,0.6851,0
594,3.5681,102.6553,23.0955,4209.402,907.0,0.8868,0
595,3.6723,102.3765,54.4181,1475.4457,958.0,0.1193,0
596,3.4421,102.3762,60.06,3979.3015,9154.0,0.0628,0
597,3.2569,102.5877,33.0448,4680.8973,2158.0,0.5297,0
598,3.4761,102.3202,70.6143,3450.9034,15738.0,0.0216,0
599,3.5037,102.4256,41.1765,597.4441,3167.0,0.3809,0
600,3.576,102.3841,38.0896,1400.1218,2116.0,0.4424,0
601,3.3317,102.6441,46.87,7893.342,702.0,0.1827,0
602,3.2667,102.6119,51.2865,7140.8701,2502.0,0.1275,0
603,3.4713,102.3931,37.5996,949.3695,14918.0,0.5076,0
604,3.4681,102.3939,36.8439,849.6686,17299.0,0.5861,0
605,3.4628,102.4,30.1138,486.2946,22554.0,0.7493,0
606,3.3462,102.6498,61.8273,8920.5571,513.0,0.0417,0
607,3.5409,102.6895,30.4835,716.919,1221.0,0.714,0
608,3.5356,102.6617,22.3367,558.0495,1111.0,0.8277,0
609,3.3534,102.6125,57.7486,5224.9621,1144.0,0.0742,0
610,3.3721,102.63,53.7621,6173.5624,1090.0,0.1043,0
611,3.3708,102.6291,51.0423,6299.2142,1089.0,0.1339,0
612,3.3688,102.6277,38.8701,6474.4493,1087.0,0.3582,0
613,3.4398,102.3771,54.9619,4097.9661,7809.0,0.1019,0
